N,P,K,temperature,humidity,ph,rainfall,label
106.44,47.52,54.88,27.45,84.09,6.22,226.91,rice
86.33,49.5,53.9,20.96,82.18,6.64,214.95,rice
111.52,32.53,36.98,20.94,85.88,6.85,155.38,rice
101.84,42.47,45.92,20.7,83.17,6.58,293.97,rice
65.65,31.25,48.18,25.26,80.36,6.94,165.45,rice
118.54,44.82,56.03,23.35,84.18,6.67,156.16,rice
105.67,39.9,48.09,26.19,84.74,6.8,186.91,rice
107.16,34.34,42.38,25.37,82.26,5.67,159.83,rice
67.69,33.1,41.23,22.67,85.72,6.6,218.27,rice
87.02,47.63,42.78,27.19,85.66,6.16,227.41,rice
82.25,35.12,49.56,26.1,87.02,6.33,196.89,rice
115.61,57.75,56.02,22.16,86.48,6.48,157.64,rice
98.63,47.43,43.62,22.91,86.52,6.95,166.74,rice
109.37,40.41,37.44,22.52,83.16,6.98,207.68,rice
86.6,47.73,37.1,21.26,87.87,5.93,159.08,rice
73.63,30.68,52.38,21.18,85.49,6.6,254.73,rice
93.28,58.76,54.5,27.49,84.31,6.62,181.05,rice
63.83,44.47,33.16,23.5,86.26,6.02,195.31,rice
109.66,53.48,32.0,23.07,83.61,5.69,209.12,rice
97.9,32.48,47.83,25.84,85.13,5.56,212.49,rice
105.49,44.6,34.39,24.42,87.37,6.67,150.25,rice
81.27,44.72,54.74,27.49,88.86,6.23,166.81,rice
118.24,58.13,39.31,26.24,89.21,6.98,279.41,rice
113.59,47.15,34.32,23.83,85.04,6.2,150.18,rice
106.7,44.2,57.63,23.01,85.2,6.97,226.23,rice
71.68,38.01,34.97,27.89,88.0,6.12,223.43,rice
88.0,39.95,38.54,25.74,83.14,6.69,199.96,rice
62.63,45.62,34.61,27.61,88.37,5.63,214.7,rice
69.26,43.17,33.46,20.95,84.94,6.33,267.09,rice
100.98,30.65,30.63,26.8,81.16,6.7,276.18,rice
104.69,54.79,31.66,25.1,80.72,6.89,189.05,rice
118.05,56.88,35.24,20.98,88.42,6.73,198.37,rice
79.55,34.21,31.6,24.71,80.56,5.56,186.37,rice
82.23,46.62,47.73,25.49,82.81,6.06,221.98,rice
88.17,33.26,50.42,20.1,83.34,5.57,252.49,rice
71.37,50.17,41.81,23.63,81.73,5.66,184.24,rice
67.8,38.44,39.54,26.6,83.14,6.51,199.61,rice
88.54,49.78,45.14,22.36,87.43,6.57,289.56,rice
73.61,51.81,56.25,23.67,80.15,6.66,157.29,rice
100.19,53.06,55.53,23.54,88.27,6.8,219.12,rice
86.23,33.23,31.3,22.42,88.57,6.61,256.73,rice
109.96,57.48,35.44,27.35,83.72,6.7,172.57,rice
102.02,36.91,37.1,26.25,81.54,5.57,157.11,rice
78.74,31.12,37.48,20.88,86.01,5.85,170.73,rice
109.94,46.65,47.14,27.98,81.2,6.43,287.82,rice
108.29,41.13,42.49,27.03,83.65,6.79,151.39,rice
83.25,54.89,31.48,22.27,89.58,5.51,178.25,rice
77.3,54.25,41.21,26.7,89.95,6.27,154.69,rice
100.95,39.51,45.71,20.85,87.72,6.52,166.59,rice
68.39,58.59,33.05,27.99,83.11,5.54,243.02,rice
71.99,38.73,55.0,25.33,86.88,6.1,186.25,rice
60.44,45.45,31.56,25.2,87.05,6.84,235.38,rice
